tier,before_mean_quality,after_mean_quality,delta_mean_quality,before_mean_cost,after_mean_cost,delta_mean_cost,before_mean_excess_cost,after_mean_excess_cost,delta_mean_excess_cost,before_cost_over_limit,after_cost_over_limit,delta_cost_over_limit,before_under_route,after_under_route,delta_under_route,before_over_route,after_over_route,delta_over_route,before_ok,after_ok,delta_ok,before_weighted_score,after_weighted_score,delta_weighted_score
fast,0.7223703703703704,0.7223703703703704,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0,0,0,109,109,0,0,0,0,161,161,0,0.07339259259259262,0.07339259259259262,0.0
balanced,0.8871111111111112,0.8871111111111112,0.0,0.03511111111111111,0.03511111111111111,0.0,0.0,0.0,0.0,0,0,0,32,32,0,84,84,0,154,154,0,0.19315333333333337,0.19315333333333337,0.0
premium,0.9177777777777778,0.9198148148148149,0.0020370370370370594,0.09122222222222223,0.08344444444444445,-0.007777777777777786,0.0,0.0,0.0,0,0,0,10,10,0,131,129,-2,129,131,2,0.16195111111111116,0.16272888888888892,0.0007777777777777661
