preset,tier,count,budget_limit,mean_quality,mean_cost,mean_excess_cost,cost_over_limit,under_route,over_route,should_abstain,ok,selection_counts
fast_conservative,fast,73,0.03,0.6884931506849316,0.008493150684931509,0.0,0,36,0,0,37,"{'cheap': 62, 'abstain': 11}"
fast_conservative,balanced,73,0.08,0.8572602739726027,0.02986301369863014,0.0,0,23,6,0,44,"{'mid': 39, 'cheap': 23, 'abstain': 11}"
fast_conservative,premium,73,0.2,0.9173972602739726,0.10794520547945206,0.0,0,3,18,0,52,"{'premium': 38, 'cheap': 23, 'abstain': 11, 'mid': 1}"
balanced_mid_first,fast,73,0.03,0.6884931506849316,0.008493150684931509,0.0,0,36,0,0,37,"{'cheap': 62, 'abstain': 11}"
balanced_mid_first,balanced,73,0.08,0.8572602739726027,0.02986301369863014,0.0,0,23,6,0,44,"{'mid': 39, 'cheap': 23, 'abstain': 11}"
balanced_mid_first,premium,73,0.2,0.9310958904109589,0.10589041095890411,0.0,0,3,18,0,52,"{'premium': 37, 'cheap': 23, 'abstain': 11, 'mid': 2}"
premium_quality_first,fast,73,0.03,0.6884931506849316,0.008493150684931509,0.0,0,36,0,0,37,"{'cheap': 62, 'abstain': 11}"
premium_quality_first,balanced,73,0.08,0.8572602739726027,0.02986301369863014,0.0,0,23,6,0,44,"{'mid': 39, 'cheap': 23, 'abstain': 11}"
premium_quality_first,premium,73,0.2,0.9173972602739726,0.10794520547945206,0.0,0,3,18,0,52,"{'premium': 38, 'cheap': 23, 'abstain': 11, 'mid': 1}"
